yourlist:M201912038471C63D39733769F8E060B506551E125F0C55R	isomap:M201912038471C63D39733769F8E060B506551E125F0C55R	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
ENSG00000188976		Q9Y3T9	NOC2L_HUMAN	reviewed	Nucleolar complex protein 2 homolog (Protein NOC2 homolog) (NOC2-like protein) (Novel INHAT repressor)	NOC2L NIR	Homo sapiens (Human)	749
ENSG00000187583	ENSG00000187583 -> Q494U1-1;Q494U1-2;Q494U1-3	Q494U1	PKHN1_HUMAN	reviewed	Pleckstrin homology domain-containing family N member 1 (PH domain-containing family N member 1) (Cardiolipin and phosphatidic acid-binding protein)	PLEKHN1 CLPABP	Homo sapiens (Human)	611
ENSG00000187642	ENSG00000187642 -> Q5SV97-1;Q5SV97-3	Q5SV97	PERM1_HUMAN	reviewed	PGC-1 and ERR-induced regulator in muscle protein 1 (PPARGC1 and ESRR-induced regulator in muscle 1) (Peroxisome proliferator-activated receptor gamma coactivator 1 and estrogen-related receptor-induced regulator in muscle 1)	PERM1 C1orf170	Homo sapiens (Human)	790
ENSG00000187608		P05161	ISG15_HUMAN	reviewed	Ubiquitin-like protein ISG15 (Interferon-induced 15 kDa protein) (Interferon-induced 17 kDa protein) (IP17) (Ubiquitin cross-reactive protein) (hUCRP)	ISG15 G1P2 UCRP	Homo sapiens (Human)	165
ENSG00000188157	ENSG00000188157 -> O00468-6	O00468	AGRIN_HUMAN	reviewed	Agrin [Cleaved into: Agrin N-terminal 110 kDa subunit; Agrin C-terminal 110 kDa subunit; Agrin C-terminal 90 kDa fragment (C90); Agrin C-terminal 22 kDa fragment (C22)]	AGRN AGRIN	Homo sapiens (Human)	2068
ENSG00000131591	ENSG00000131591 -> Q96HA4-1;Q96HA4-3;Q96HA4-4	Q96HA4	CA159_HUMAN	reviewed	Uncharacterized protein C1orf159	C1orf159 UNQ2998/PRO9739	Homo sapiens (Human)	380
ENSG00000078808	ENSG00000078808 -> Q9BRK5-1;Q9BRK5-6	Q9BRK5	CAB45_HUMAN	reviewed	45 kDa calcium-binding protein (Cab45) (Stromal cell-derived factor 4) (SDF-4)	SDF4 CAB45 PSEC0034	Homo sapiens (Human)	362
ENSG00000176022		Q96L58	B3GT6_HUMAN	reviewed	Beta-1,3-galactosyltransferase 6 (Beta-1,3-GalTase 6) (Beta3Gal-T6) (Beta3GalT6) (EC 2.4.1.134) (GAG GalTII) (Galactosyltransferase II) (Galactosylxylosylprotein 3-beta-galactosyltransferase) (UDP-Gal:betaGal beta 1,3-galactosyltransferase polypeptide 6)	B3GALT6	Homo sapiens (Human)	329
ENSG00000184163		Q5T7M4	ADIPL_HUMAN	reviewed	Adipolin (Adipose-derived insulin-sensitizing factor) (C1q and TNF related protein 12) (Complement C1q tumor necrosis factor-related protein 12) [Cleaved into: Adipolin fC1QTNF12 (Adipolin fCTRP12) (Adipolin full-length form); Adipolin gC1QTNF12 (Adipolin cleaved form) (Adipolin gCTRP12)]	C1QTNF12 C1QDC2 CTRP12 FAM132A	Homo sapiens (Human)	302
ENSG00000160087	ENSG00000160087 -> Q8N2K1-1;Q8N2K1-3	Q8N2K1	UB2J2_HUMAN	reviewed	Ubiquitin-conjugating enzyme E2 J2 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme J2) (Non-canonical ubiquitin-conjugating enzyme 2) (NCUBE-2)	UBE2J2 NCUBE2	Homo sapiens (Human)	259
ENSG00000169972	ENSG00000169972 -> Q8N0Z8-1	Q8N0Z8	PUSL1_HUMAN	reviewed	tRNA pseudouridine synthase-like 1 (EC 5.4.99.-) (tRNA pseudouridylate synthase-like 1) (tRNA-uridine isomerase-like 1)	PUSL1	Homo sapiens (Human)	303
